#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33264:140200-140799   -            200 27558at4891          -            164   7.1e-75  248.1   1.8   1   1   8.2e-77   8.8e-75  247.7   1.8     1   164     5   192     5   192 0.91 -
Utg33282:140871-141515   -            215 27558at4891          -            164   3.8e-21   73.3   0.6   1   1   4.7e-23     5e-21   72.9   0.6     3   151    21   182    19   194 0.82 -
Utg33282:215982-216599   -            206 27558at4891          -            164     1e-19   68.7   0.5   1   1   1.4e-21   1.5e-19   68.1   0.5     4   142    10   163     8   177 0.85 -
Utg33254:636492-637907   -            279 27558at4891          -            164   2.9e-19   67.2   0.3   1   1     4e-21   4.2e-19   66.7   0.3     3   145    75   234    73   246 0.81 -
Utg33264:250438-251061   -            208 27558at4891          -            164     9e-19   65.6   0.1   1   1   1.3e-20   1.4e-18   64.9   0.1     3   145     9   173     7   186 0.76 -
Utg33260:467910-468455   -            182 27558at4891          -            164   8.2e-17   59.2   0.0   1   1   9.5e-19     1e-16   58.9   0.0     2   141     6   163     5   177 0.78 -
Utg33286:729710-730279   -            190 27558at4891          -            164     1e-15   55.7   0.0   1   1   2.2e-16   2.4e-14   51.2   0.0     4   147     1   162     1   173 0.86 -
Utg33278:215170-215838   -            223 27558at4891          -            164   4.8e-14   50.2   0.0   1   1   5.8e-16   6.2e-14   49.9   0.0     3   150    14   176    12   187 0.81 -
Utg33252:1004746-1005411 -            222 27558at4891          -            164   6.6e-14   49.8   0.1   1   1   8.3e-16   8.9e-14   49.4   0.1     3   149    14   175    12   184 0.81 -
Utg33284:555727-556224   -            166 27558at4891          -            164   8.5e-14   49.4   0.0   1   1   1.1e-15   1.1e-13   49.0   0.0     4   144     1   161     1   165 0.73 -
Utg33284:472713-473354   -            214 27558at4891          -            164   3.2e-13   47.6   0.0   1   1   1.5e-13   1.6e-11   42.0   0.0     4   107     2   127     1   136 0.83 -
Utg33260:492874-493401   -            176 27558at4891          -            164   4.5e-13   47.1   0.2   1   1   5.4e-15   5.8e-13   46.7   0.2     3   142    11   165     9   171 0.82 -
Utg33272:440962-441459   -            166 27558at4891          -            164   6.6e-13   46.5   0.3   1   1   7.8e-15   8.4e-13   46.2   0.3     4   142     2   155     1   162 0.82 -
Utg33272:404174-451294   -            174 27558at4891          -            164   4.5e-12   43.8   0.0   1   1     5e-14   5.4e-12   43.6   0.0     4   124     9   138     6   170 0.79 -
Utg33260:653831-654181   -            117 27558at4891          -            164   5.7e-11   40.2   0.0   1   1   7.6e-13   8.2e-11   39.7   0.0     4   105     1   114     1   116 0.78 -
Utg33266:256605-257138   -            178 27558at4891          -            164   4.9e-10   37.2   0.0   1   1   6.1e-12   6.5e-10   36.8   0.0     4   111     5   124     2   138 0.81 -
Utg33276:139278-139970   -            231 27558at4891          -            164   2.9e-09   34.7   0.0   1   1   3.7e-11   3.9e-09   34.3   0.0     3    89    17   112    15   153 0.81 -
Utg33254:573049-573621   -            191 27558at4891          -            164   3.3e-09   34.5   0.0   1   1   5.9e-11   6.3e-09   33.6   0.0     3   106     4   119     2   137 0.78 -
Utg33258:171148-171723   -            192 27558at4891          -            164   7.3e-08   30.1   0.0   1   1   1.7e-09   1.8e-07   28.9   0.0     3   106     5   121     3   178 0.73 -
Utg33272:457455-458027   -            191 27558at4891          -            164   1.6e-07   29.0   0.0   1   1   1.8e-09   1.9e-07   28.8   0.0     4   108     9   125     6   178 0.79 -
Utg33252:291744-292229   -            162 27558at4891          -            164   1.7e-07   28.9   0.1   1   1   1.9e-09     2e-07   28.7   0.1     4   114     2   125     1   162 0.71 -
