#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Utg33260:183893-185374 -            494 21977at4891          -            263  4.1e-124  410.6   7.6   1   3   7.3e-37   3.9e-34  115.7   0.1    12    80    33   102     4   108 0.93 -
Utg33260:183893-185374 -            494 21977at4891          -            263  4.1e-124  410.6   7.6   2   3   5.4e-48   2.9e-45  152.1   0.0    77   172   209   315   205   320 0.94 -
Utg33260:183893-185374 -            494 21977at4891          -            263  4.1e-124  410.6   7.6   3   3   5.8e-45   3.1e-42  142.2   2.5   165   263   377   493   371   493 0.94 -
Utg33278:359148-360071 -            308 21977at4891          -            263   1.1e-87  291.2   1.5   1   1   2.8e-90   1.5e-87  290.8   1.5    13   260    31   308    24   308 0.87 -
Utg33286:90909-91832   -            308 21977at4891          -            263   2.2e-87  290.2   1.2   1   1   5.5e-90     3e-87  289.8   1.2    13   260    31   308    24   308 0.87 -
Utg33262:89634-90575   -            314 21977at4891          -            263   1.5e-85  284.2   3.4   1   1   3.8e-88     2e-85  283.8   3.4    15   260    36   313    25   314 0.87 -
Utg33284:114623-115903 -            427 21977at4891          -            263   1.3e-75  251.6   0.2   1   2   2.2e-56   1.2e-53  179.7   0.0    13   168    34   199    27   208 0.90 -
Utg33284:114623-115903 -            427 21977at4891          -            263   1.3e-75  251.6   0.2   2   2   7.5e-23     4e-20   69.7   0.1   164   262   307   423   284   424 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/21977at4891.hmm
# Target file:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/hmmer_output/initial_run_results/21977at4891.out --cpu 1 /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_downloads/lineages/saccharomycetes_odb10/hmms/21977at4891.hmm /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco/busco_output/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRRoutput.fasta.modified.fas 
# Current dir:     /home/inf-34-2022/Documents/BINP29/DeNovo_LongReads/Busco
# Date:            Fri Feb 24 12:02:29 2023
# [ok]
